Date,Open,High,Low,Close,Adj Close,Volume,Day
2015-08-18,64.559998,64.75,64.25,64.419998,58.835262,353400,370
2015-08-19,64.269997,64.739998,63.68,64.279999,58.707413,335700,371
2015-08-20,63.59,63.66,62.740002,62.740002,57.300919,418600,372
2015-08-21,62.279999,62.509998,61.299999,61.349998,56.031406,776400,373
2015-08-24,58.029999,59.240002,57.98,58.18,53.13623,902600,374
2015-08-25,59.650002,59.650002,57.709999,57.779999,52.770908,1096100,375
2015-08-26,58.790001,60.41,58.209999,60.139999,54.926319,805000,376
2015-08-27,60.91,61.889999,60.52,61.650002,56.30542,743700,377
2015-08-28,61.259998,62.18,60.650002,62.16,56.771198,675400,378
2015-08-31,60.970001,61.93,60.439999,60.52,55.273365,886400,379
2015-09-01,59.18,59.73,58.43,58.560001,53.483292,887300,380
2015-09-02,59.310001,59.900002,58.889999,59.889999,54.697983,654700,381
2015-09-03,60.060001,60.48,59.580002,59.669998,54.497059,897600,382
2015-09-04,58.889999,59.310001,58.490002,58.66,53.574623,628100,383
2015-09-08,59.689999,61.009998,59.380001,60.919998,55.638691,748800,384
2015-09-09,61.450001,61.669998,59.990002,60.09,54.88065,647600,385
2015-09-10,60.049999,61.23,60.029999,60.860001,55.583897,508000,386
2015-09-11,60.59,61.09,59.950001,61.02,55.73003,721600,387
2015-09-14,61.060001,61.18,59.790001,59.849998,54.661453,816800,388
2015-09-15,60.060001,61,60,60.73,55.465164,692000,389
2015-09-16,60.639999,60.849998,60.419998,60.650002,55.392101,581300,390
2015-09-17,60.740002,61.650002,60.59,60.709999,55.446903,665600,391
2015-09-18,59.93,60.619999,59.799999,60.119999,54.908054,2637200,392
2015-09-21,60.43,62.380001,59.549999,61.82,56.460667,775800,393
2015-09-22,61.009998,61.139999,60.5,60.970001,55.684372,505100,394
2015-09-23,61.009998,61.82,60.709999,61.41,56.086197,701200,395
2015-09-24,60.66,61.18,60.369999,60.470001,55.227707,911700,396
2015-09-25,61.099998,62.07,60.630001,61.32,56.004021,989300,397
2015-09-28,60.889999,61.09,58.900002,58.939999,53.830338,567100,398
2015-09-29,59.099998,59.099998,57.91,58.240002,53.191032,606600,399
2015-09-30,58.790001,59.57,58.490002,59.459999,54.305256,849400,400
2015-10-01,59.16,59.540001,57.59,57.950001,52.926174,1319200,401
2015-10-02,57.040001,58.57,56.869999,58.57,53.492416,1261000,402
2015-10-05,59,59.459999,58.549999,59.23,54.095207,1197500,403
2015-10-06,58.959999,59.240002,58.369999,58.610001,53.528954,733400,404
2015-10-07,58.93,59.490002,58.709999,59.32,54.177395,912500,405
2015-10-08,59.09,60.200001,59.09,59.93,54.734512,640600,406
2015-10-09,59.950001,60.220001,59.77,60,54.79845,632600,407
2015-10-12,59.889999,60.75,59.779999,60.490002,55.245975,761600,408
2015-10-13,60.049999,60.849998,60.049999,60.150002,54.935448,456100,409
2015-10-14,60.150002,60.330002,59.099998,59.189999,54.05867,507500,410
2015-10-15,59.48,59.849998,59.310001,59.849998,54.661453,508800,411
2015-10-16,59.990002,60.200001,59.48,60.18,54.962845,338300,412
2015-10-19,59.889999,60.939999,59.75,60.790001,55.519966,354100,413
2015-10-20,60.630001,61,59.790001,60.900002,55.620441,256400,414
2015-10-21,61.119999,61.290001,60.360001,60.459999,55.218575,400900,415
2015-10-22,60.860001,61.84,60.689999,61.080002,55.784821,450900,416
2015-10-23,61.700001,61.919998,61.18,61.799999,56.44239,207800,417
2015-10-26,61.759998,62.84,61.720001,62.77,57.328308,504600,418
2015-10-27,62.400002,62.759998,61.209999,61.52,56.186684,374500,419
2015-10-28,61.700001,63.060001,61.650002,63.049999,57.584034,371100,420
2015-10-29,63.419998,65.739998,62.91,65.519997,59.839909,834500,421
2015-10-30,65.779999,67.139999,65.779999,67,61.191605,1032500,422
2015-11-02,67.959999,71.209999,67.949997,71.050003,64.890488,2384100,423
2015-11-03,71.010002,71.029999,69.949997,70.209999,64.123337,1294000,424
2015-11-04,70.349998,70.699997,69.269997,69.459999,63.438339,974400,425
2015-11-05,69.529999,70.089996,68.379997,68.620003,62.671173,1660500,426
2015-11-06,68.75,69.010002,67.620003,67.790001,61.913113,2024700,427
2015-11-09,67.879997,67.879997,66.440002,66.489998,60.725815,2954400,428
2015-11-10,66.75,67.330002,65.57,67.25,61.623833,3264700,429
2015-11-11,67.330002,67.559998,66.400002,67.290001,61.660473,1058200,430
2015-11-12,67.739998,67.739998,66.050003,66.769997,61.183998,1298600,431
2015-11-13,66.32,66.510002,65.620003,66.209999,60.670845,1818100,432
2015-11-16,65.93,68.07,65.760002,68.029999,62.338577,1389200,433
2015-11-17,68.309998,69.910004,67.949997,69.190002,63.401524,1664900,434
2015-11-18,69.309998,69.709999,68.629997,69.400002,63.593948,1391800,435
2015-11-19,69.540001,69.709999,69.010002,69.419998,63.612289,434300,436
2015-11-20,69.610001,69.739998,69.169998,69.339996,63.53896,412100,437
2015-11-23,69.290001,69.690002,69.160004,69.519997,63.703922,738600,438
2015-11-24,69.129997,70.370003,69.07,70.080002,64.217079,836000,439
2015-11-25,70.400002,70.400002,69.910004,69.959999,64.107094,285000,440
2015-11-27,69.860001,70.669998,69.68,70.610001,64.702736,125100,441
